date,time,location,operator,flight,route,aircraft,registration,cnln,aboard,fatalities,ground,summary
19170614,845,"OffVlielandIsland,NorthSea",Military-GermanNavy,,,ZeppelinL-43,,,24,24,0,Shot down by British aircraft.
19170617,,"NearYarmouth,England",,,,ZepplinL-48,L-48,,16,14,0,Shot down by aircraft.
19170821,700,OffWesternDenmark,Military-GermanNavy,,,ZeppelinL-23,,,18,18,0,Shot down by British aircraft.
19171020,745,"NearLuneville,France",Military-GermanNavy,,,ZeppelinL-44,,,18,18,0,Shot down by French anti-aircraft fire.
19180407,2130,OverTheMediterranean,Military-GermanNavy,,,ZeppelinL-59,,,23,23,0,Exploded and crashed into the sea off the southern coast of Italy.
19180805,,"OffHelgolandIsland,Germany",Military-GermanNavy,,,ZeppelinL-70,,,22,22,0,"Shot down by British aircraft crashing from a height of 17,000 ft."
19180811,1000,"AmelandIsland,NorthSea",Military-GermanNavy,,,ZeppelinL-53,,,19,19,0,Shot down by british aircraft.
19181216,,"Elizabeth,NewJersey",UsAerialMailService,,,DeHavillandDh-4,97,,1,1,0,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.
19190525,,"Cleveland,Ohio",UsAerialMailService,,,DeHavillandDh-4,61,,1,1,0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.
19190719,,"DixRun,Pennsylvania",UsAerialMailService,,,DeHavillandDh-4,82,,1,1,0,The mail plane crashed under unknown circumstances.
19190721,1655,"Chicago,Illinois",WingfootAirExpressGoodyearTire,,Shuttle,FdTypeDirigible,,,,3,10,"The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed"
19190802,,"Verona,Italy",CaproniCompany,,VeniceTaliedo,CaproniCa.48,,,14,14,0,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.
19191002,,"Newcastle,England",AircraftTransportAndTravel,,,DeHavillandDh-4,,,1,1,0,
19191014,,"Cantonsville,Maryland",UsAerialMailService,,,CurtissR-4lm,32,,1,1,0,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods."
19191020,,"EnglishChannelOffForkstone,Kent",AircraftTransportAndTravel,,,DeHavillandDh-4,G-eahg,,0,0,0,Crashed into the sea while attempting to land in fog.
19191030,,"LongValley,NewJersey",UsAerialMailService,,,DeHavillandDh.4,77,77,1,1,0,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed."
19191211,,"Catherham,Surrey,Uk",AircraftTravelTransport,,Paris-Hounslow,DeHavillandDh-4,G-eahf,,1,1,0,Crashed in a field while attemptting to land.
19200310,,"NewParis,Indiana",UsAerialMailService,,,DeHavillandDh-4,65,,1,1,0,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area."
19200330,,"Newark,NewJersey",UsAerialMailService,,Washington-Newark,DeHavillandDh-4,72,,1,1,0,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.
19200410,,"Newark,NewJersey",UsAerialMailService,,,CurtissR-4lm,49,,2,1,0,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.
19200411,,"HellerField,NewJersey",UsAerialMailService,,,CurtissJn-4h,44,,2,1,0,The aircraft crashed while on approach for unknown reasons.
19200512,,"Oskaloosa,Iowa",UsAerialMailService,,,DeHavillandDh-4,79,,2,1,0,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field."
19200606,,"Cleveland,Ohio",UsAerialMailService,,,DeHavillandDh-4,204,,1,1,0,The aircraft suffered engine failure and crashed shortly after taking off.
19200720,,"Cartagena,Columbia",CompañiaColombianaDeNavegaciónAérea,,,FarmanF-40,,,1,1,0,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.
19200816,,"Bedford,England",ByAir,,,Armstrong-whitworthF-k-8,G-ealw,,1,1,0,The plane crashed during a cargo flight under unknown circumstances.
19200816,,"CollegePark,Maryland",UsAerialMailService,,,DeHavillandDh-4,317,,1,1,0,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames."
19200901,,"Morristown,NewJersey",UsAerialMailService,,,JunkersJl-6,305,,2,2,0,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire."
19200915,,"Pemberville,Ohio",UsAerialMailService,,,JunkersF-13,308,,2,2,0,The pilot crashed after attempting to make an emergency landing after the engine caught fire.
19200927,,"Hillersburg,Pennsylvania",UsAerialMailService,,,DeHavillandDh-4,316,,1,1,0,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.
19201002,,"OffPortVendres,France",LatecoereAirlines,,,Salmson2-a-2,F-alai,31,2,2,0,Crashed into the Mediterranean while on a mail flight.
19201005,,"Valencia,Spain",LatecoereAirlines,,,Breguet14,F-alta,20,2,2,0,While on a mail flight the plane crashed while attempting to land.
19201015,,"Batavia,Illinois",UsAerialMailService,,,DeHavillandDh-4,76,,1,1,0,While attempting to land in fog the aircraft hit an obstruction and crashed.
19201107,,"TieSiding,Wyoming",UsAerialMailService,,,DeHavillandDh-4,,178,1,1,0,The aircraft crashed into a mountain in poor weather condtions.
19201214,1215,"London,England",HandleyPageTransport,,London-Paris,HandleyPageHp-16,G-eama,Hp-25,8,4,0,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..
19201224,,"Barcelona,Spain",Aeropostale,,,Breguet14,F-albo,57,1,1,0,The aircraft stalled and crashed when an engine failed.
19210203,,"Mendotta,Minnisota",UsAerialMailService,,,DeHavillandDh-4,130,,1,1,0,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.
19210209,,"LaCrosse,Wisconsin",UsAerialMailService,,,JunkersF-13,301,,3,3,0,Crashed for unknown reasons. Both pilots and the mechanic were killed.
19210215,,OffGibraltar,Aeropostale,,,Breguet14,F-alba,,2,2,0,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.
19210222,,"Elko,Nevada",UsAerialMailService,,,DeHavillandDh-4,67,,1,1,0,"Shortly after taking off, the aircraft stalled and crashed ."
19210406,,"PointCook,Australia",Military-RoyalAustralianAirForce,,,Avro504,H3021,,2,2,0,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames."
19210421,,"MitchelField,Ny",UsAerialMailService,,,DeHavillandDh-4,160,,1,1,0,After taking off the aircraft stalled and crashed.
19210429,,"Cleveland,Ohio",UsAerialMailService,,,DeHavillandDh-4,196,,1,1,0,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog."
19210517,,"RockSprings,Wyoming",UsAerialMailService,,,DeHavillandDh-4DeHavillandDh-4,176,,1,1,0,Crashed while attempting to land.
19210814,,"Toulouse,France",Aeropostale,,,Breguet14,F-albi,,2,2,0,
19210824,1740,"RiverHumber,England",Military-RoyalAirshipWorks,,,RoyalAirshipWorksZr-2,R-38,R-38,49,43,1,"Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design. This was a test flight before being handed over to the navy. Thirty-two British and 17 Americans were on board, and the survivors were 5 British and 1 American.  The fatalities included the designer, Charles Campbell, who had copied a captured German design intended for high-altitude flight, therefore the skeleton was a bit weaker than some.  The pilot overstressed it by attempting a turn at 62 mph at low altitude."
19210906,,"Paris,France",Franco-roumaine,,Warsaw-Prague-Strasbourg-Paris,PotezIx,F-adcd,160,5,5,0,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.
19211205,,"NearMurchinsonRiver,Australia",WestAustralianAirways,,Geraldton-Derby,Bristol28Tourer,G-audi,6116,2,2,0,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.
19220114,,"Paris,France",HandleyPageTransport,,,HandleyPageO/10,G-eatn,Hp-43,5,5,5,Crashed at Le Bourget field.
19220221,,"NearNorfolk,Virginia",Military-U.s.ArmyAirService,,,DirigibleRoma,,,45,34,0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.
19220322,1140,NorthAtlanticOcean,AeroLimited,,Miami-Bimini,AeromarineModel85,,,6,5,0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami."
19220407,1315,"Grandvilliers,France",DaimlerAirways/GrandsExpressAeriens,,Croydon-LeBourget,DeHavillandDh-18/FarmanF-60Goliath,G-eaow/fgead,4,7,7,0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60."
19220408,,"PaoTingFou,China",,,Test,,,,17,17,0,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.
19220603,,"OffFolkestone,Kent,England",CieDesMessageriesAeriennes,,Croydon-Paris,BleriotSpad27,F-acmh,555,3,3,0,Went down into the English Channel while en route.
19220704,,"Fuhlsbuttel,Germany",,,Hamburg-Berlin,LvgCVi,,,3,2,0,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen"
19220716,1645,"NearSaverne,Lorraine,France",CompagnieFranco-roumaineDeNavigaationAerienne,,Strasbourg-Paris,Potez29,F-frei,25,5,5,0,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.
19220726,,"Cadix,Spain",GrandsExpressAeriens,,,Breguet14,F-alve,117,3,3,0,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed."
19220907,,"Indianapolis,Indiana",UsAerialMailService,,,DeHavillandDh-4,227,,1,1,0,The plane stalled shortly after takeoff and crashed.
19221002,,"Venice,Italy",DeHavillandAirService,,Venice-London,DeHavillandDh-9,G-eayt,14,4,4,0,Shortly after taking off the plane crashed into the sea and sank.
19221025,,"Larache,Morocco",GrandsExpressAeriens,,,Breguet14,,,2,2,0,Crashed under unknown circumstances.
19221203,,"Fez,Morocco",GrandsExpressAeriens,,Toulouse-Barcelona-Valencia-Alicante-Malaga-Rabat,Breguet14,F-alna,14,1,1,0,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.
19230110,,"Ajaccio,France",AmeeDeL'air,,,Lioré-et-olivierH-13,F-aeib,4,4,3,0,The plane crashed mid-air due to a structural failure of the tail.
19230117,,"Barcelona,Spain",GrandsExpressAeriens,,,Breguet14,F-alju,6083-130,1,1,0,Crashed into a mountain during a snowstorm.
19230118,,"Cheyenne,Wyoming",UsAerialMailService,,,DeHavillandDh-4,223,,1,1,0,Crashed during a mail flight.
19230226,,"Meadville,Pennsylvania",UsAerialMailService,,,DeHavillandDh-4,291,,1,1,0,The pilot lost control of the aircraft  while on approach in poor weather conditions.
19230514,1342,"NearAmiens,Picrdie,France",GrandsExpressAeriens,,Paris-London,FarmanF-60Goliath,F-aeby,15,6,6,0,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette."
19230827,1730,"EastMallling,UnitedKingdom",AirUnion,,Paris-Berck-sur-mer-Croydon,FarmanF.60Goliath,F-aecb,4,11,1,0,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed."
19230827,,"Bucharest,Romania",CampagnieFranceRoumaine,,,BlériotSpad46,F-aegn,28,2,2,0,Crashed while on approach to Bucharesst.
19230907,,"Colton,Ohio",UsAerialMailService,,,DeHavillandDh-4,283,,1,1,0,Crashed during an emergency landing attempt.
19230914,1800,"NearIvinghoe,Buckinghamshire,England",DaimlerAirways,,Croydon-Manchester,DeHavillandDh-34,G-ebbs,29,5,5,0,Crashed while attempting a forced landing after encountering heavy rain.
19231118,,Russia,Cccp,,,JunkersF-13,D-257,,5,3,0,Crashed during a training flight.
19231206,,"Castalia,Ohio",UsAerialMailService,,,DeHavillandDh-4,318,,1,1,0,Crashed under unknown circumstances.
19231223,230,OverTheMediterraneanSea,Military-FrenchNavy,,Toulon-Algiers,ZeppelinDixmunde,L-72,,52,52,0,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning."
19231224,,"Egbert,Wy",UsAerialMailService,,,DeHavillandDh-4,315,,1,1,0,Crashed into a montain in poor weather conditions.
19240307,,"Grampian,Pennsylvania",UsAerialMailService,,,DeHavillandDh-4,327,,1,1,0,Crashed during a snowstorm.
19240424,,OverTheEnglishChannel,KlmRoyalDutchAirlines,,"Lympne,England-Rotterdam,TheNetherlands",FokkerF.iii,H-nabs,1535,3,3,0,The aircraft disappeared over the North Sea. The plane and passengers were never found.
19240608,,"Barranquilla,Colombia",Scadta,,Barranquilla-Bogota,JunkersF-13,A16,684,5,5,0,Stalled after taking off and crashed into houses..
19240801,,UnitedStates,UsAerialMailService,,,DeHavillandDh-4,297,,1,1,0,"The pliot made a low pass in honor of another pilot who had died, stalled and cashed."
19241106,,"Cabrerolles,France",GrandsExpressAeriens,,,Breguet14,F-afbd,,1,1,0,"While en route the pilot encountered thunderstorms, lost control and crashed."
19241221,,"Goshen,Indiana",UsAerialMailService,,,DeHavillandDh-4,311,,1,1,0,"Lost in a snowstorm, the pilot decided to bail out of the plane but was killed."
19241224,1200,"Purley,England",ImperialAirways,,London-Paris,DeHavillandDh-34b,G-ebbx,36,8,8,0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Crashed due to an unknown mechanical failure and subsiquent stall. Captain Stewart and seven passengers were killed in an attempted forced landing."
19250322,,"NearTiflis,Georgia,Ussr",Zakavia,,Tiflis-Suchumi,JunkersF-13,R-reca,590,5,5,0,Shortly after take off the plane went out of control and crashed in flames.
19250425,,"Alicante,Spain",GrandsExpressAeriens,,Alicante-Barcelona-Toulouse,Breguet14,F-afbb,202,3,3,0,"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed."
19250625,,"Landrécies,France",KlmRoyalDutchAirlines,,Amsterdam-Paris,Fokker,H-nabm,1502,4,4,0,"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight."
19250626,,"Alicante,Spain",GrandsExpressAeriens,,Oran-Alicante,Lioré-et-olivierLeoH-13,F-frem,,2,2,0,While attempting to land the seaplane hit a lightning mast and crashed.
19250720,,"Rosas,Spain",LignesAeriennesLatecoere,,Toulouse-Barcelona,Breguet14,F-afbi,209,1,1,0,Crashed in unknown circumstance.
19250724,,"Budapest,Hungary",Cidna,,,PotezIx,,,1,1,0,Crashed while attempting to land 10 km from the airport
19250903,530,"Caldwell,Ohio",Military-U.s.Navy,,"Lakehurst,Nj-S.tLouis,Mo",DirigibleZr-1Shenandoah,Zr-1,,43,14,0,The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions
19250907,,"Toul,France",Cidna,,,Spad33,,,,,,
19251001,,"Mt.Nittany,Ohio",UsAerialMailService,,NewYork-SanFrancisco,DeHavillandDh-4,385,,1,1,0,Crashed into a wooded area on Mt. Nittany in fog and low visibility.
19251114,,"Nouadhibou,Mauritania",LignesAeriennesLatecoere,,,Breguet14,F-aegz,168,1,1,0,The pilot suffered sunstroke lost control of the plane and crashed.
19251114,,"OffBoulogne-sur-mer,France",AirUnion,,,FarmanF-60Goliath,F-fhmy,,2,2,0,
19260212,,"Montpelier,Ohio",UsAerialMailService,,,CurtissCarrierPigeon,602,,1,1,0,"While the mail plane was flying at a low altitude, the  aircraft hit trees and crashed in a wooded area."
19260308,,"Staaken,Germany",DeutcheLufthansa,,,JunkersF-13,D-290D-290,665,1,1,0,While in a training filight the aircraft stalled and crashed while attempting to land.
19260531,,EnglishChannel,AirUnion,,Paris-Cryodon,Breguet14,F-adai,1908,1,1,0,The mail plane crashed into the English Channel and was never found.
19260703,,"Rossaugpt,Czechoslovakia",CompagnieInternationaleDeNavigationAérienne,,Paris-Prague-Budapest,CaudronC-61,F-afbt,5307,6,6,0,Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude.
19260709,930,"Wolvertem,Belgium",KlmRoyalDutchAirlines,,Amsterdam-Rotterdam-Brussels-Paris,FokkerF7,H-nacc,4759,2,2,0,Crashed into the ground while descending in poor weather.
19260724,,"Juist,Germany",DeutscheLufthansa,,,JunkersF-13,D-272,660,5,5,0,Crashed under weather related.circumstances.
19260818,,"Hurst,Kent,England",AirUnion,,"Lebourget,France-Croydon,England",Bleriot155,F-aieb,2,15,3,0,The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later.
19260926,,"NewYork,NewYork",,,NewYork-Paris,SikorskyS-25,,,5,2,0,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantic passenger flight.
19261002,1527,"Leigh,Kent,UniedKingdom",AirUnion,,Paris-London,Bleriot155,F-Aicq,1,7,7,0,"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed.."
19261008,,"Bueren,Germany",DeutscheLufthansa,,,FokkerFgIii,D-468,1554,4,4,0,Weather related.
19261021,1315,EnglishChannel,ImperialAirways,,Croydon-Paris,HandleyPageW-10,G-ebms,W10/3,12,0,0,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry."
19261111,800,"CapeBojador,Morocco",GrandsExpressAeriens,,Casablanca-dakar,Breguet14,F-afax,198,3,3,0,"While en route and cruising along the shore, the mail plane's engine failed. The crew made an emergency landing on a beach near Cape Bojador. After the landing, crew was attacked by Maures tribesmen and killed while the aircraft was set on fire and destroyed."
19261216,,"Medford,Oregon",PacificAirTransport,,,RyanM-1,2,,1,1,0,The postal plane crashed into a mountain slope in foggy conditions.
19270112,,"Estaires,France",Fokker,,DeliveryFlight,FokkerF-vii,G-ebpl,4938,0,0,0,The flight crew encountered poor weather conditions and made an emergency landing. The aircraft landed in a field badly damaged and written off.
19270320,,"Rabat,Morocco",GrandsExpressAeriens,,Casablanca-Oran,Breguet14,F-alra,,1,1,0,Unknown.
19270324,,"Tambo,Qld,Australia",Qantas,,Charleville-Tambo-Blackall,DeHavillandDh-9c,G-aued,86,3,3,0,"While attempting to land, the engine failed, the aircraft stalled and crashed."
19270415,,"KingHill,Idaho",VarneyAirLines,,,SwallowSwallow,,A28,1,1,0,Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.
19270422,,"Floh,Germany",DeutscheLufthansa,,Charleville-Tambo-Blackall,FokkerFgIii,D-729,1567,2,2,0,Crashed following engine failure.
19270422,,"Goshen,Indiana",UsAerialMailService,,,DouglasM-4,626,,1,1,0,Crashed into a field during a snow storm.
19270502,,"Algiers,Algeria",AirUnion,,,SpcaMeteore63,F-aifn,,3,1,0,The three engine seaplane stalled and crashed into the sea shortly after taking off.
19270727,,"Amoneburg,Germany",DeutscheLufthansa,,Kassel-Frankfurt,JunkersF-13,D-206,591,5,5,0,Crashed after experiencing engine failure and attempting to make a forced landing.
19270822,830,"Sevenoaks,England",KlmRoyalDutchAirlines,,Croydon-Schiphol,FokkerF-viii,H-naduH-nadu,4993,11,1,0,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer."
19270903,,"Willington,Connecticut",ColonialAirTransport,,,FokkerUniversal,Nc52Nc52,405,1,1,0,The postal plane crashed for unknown reasons.
19270917,,"Hadley,NewJersey",ReynoldsAirways,,Sightseeing,FokkerF-vii,Nc776,4840,12,7,0,The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.
19270917,405,AtlanticOcean,Private,,OldOrchadBeach-Rome,FokkerF7,Nx703,4899/0501,3,3,0,"While flying 1,000 km east of the Canadian coast, the crew sent a mayday message and the aircraft crashed into the ocean two minutes later. The plane was owned by William Randolph Hearst who financed this nonstop transatlantic flight."
19270923,1000,"Schleiz,Germany",DeutscheLufthansa,,Berlin-Munich,DornierMerkur,D-585,075,6,6,0,From an altitude of 500 ft. the plane went out of control and crashed  due to a broken wing strut.
19271006,,"Thies,Mauritania",LignesAeriennesLatecoere,,SaintLouis-Dakar,Breguet14,F-agbn,229,2,2,0,The plane crashed while attempting to land at Dakar.
19271030,,"NewBrunswick,NewJersey",ColonialAirTransport,,,FairchildFc-2,,20,4,4,0,Went into a tailspin and crashed into a corn field about 10 km from the airport.
19271108,,"Strasburg,France",Cidna,,Strasbourg-Paris,FarmanF-121Jabiru,F-aibr,1,1,1,0,The mail plane crashed shortly after taking off.
19271116,,OverTheGulfOfFinland,AeroO-y,,Tallinn-Helsinki,JunkersF-13,K-sald,798,6,6,0,Crashed in the gulf of Finland and never found.
19271129,,"Corunna,Indiana",NationalAirTransport,,,DouglasM-4,Nc62Nc1062,Po641,1,1,0,The postal plane crashed at night in poor weather.
19271228,,"Almeria,Spain",Aeropostale,,Dakar-Casablanca-Alicante-Perpignan-Toulouse,Breguet14,F-afgs,227,1,1,0,A fire erupted aboard the mail plane while en route and crashed.
19271231,,"NearMarseille,france",LatecoereAirlines,,TestFlight,Latécoère23,F-aihp,23-1,5,5,0,"Suffered structural failure at an altitude of 1,000 ft."
19280108,,"NearCanajoharie,NewYork",ColonialWesternAirlines,,Minola-Albany-Buffalo,FairchildFc-2,Nc3780,39,3,3,0,Became lost in dense fog and flew into trees in the Mohawk Valley while proceeding to Buffalo..
19280116,,"Solis,Uruguay",Aeropostale,F-aikg,BuenosAires-Montevideo,Latecoere25,F-aikg,633,2,2,0,The wing on the mail plane detached from the aircraft and crashed into the sea.
19280122,,"L'hospitalet,Ariège",Aeropostale,,Toulouse-Perpignan-Alicante-Casablanca-Dakar,Breguet14,F-aheq,,1,1,0,Crashed after experiencing mechanical difficulties.
19280122,,"Tarragona,Spain",Aeropostale,,Casablanca-Alicante-Perpignan-Toulouse,Breguet14,F-aheq,240,2,2,0,Crashed in unknown circumstances.
19280127,,"Almeria,Spain",Aeropostale,,Casablanca-Alicante-Perpignan-Toulouse,Breguet14,F-afhn,162,1,1,0,After experiencing turbulence the pilot's seat belt broke and ejecting the pilot.
19280226,,"Marquette,Nebraska",BoeingAirTransport,,,Boeing40,Nc280,891,2,1,0,The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.
19280311,,"OffCapeGrizNez,France",AirUnion,,Paris-Croydon,FarmanF-60Goliath,F-aefc,62/6943,2,2,0,Crashed into the sea while delivering mail in poor weather.
19280417,,"Federal,Wyoming",BoeingAirTransport,,,Boeing40,Nc282Nc282,893,2,1,0,Spatial disorientation after entering a snowstorm.
19280419,,"Minuesa,Spain",IberiaAirlines,,Barcelona-Madrid,RohrbachRoland,M-cccc,36,9,9,0,Crashed into a field after getting lost in fog.
19280507,,"Florianopolis,BrazilFlorianopolis,BrazilFlorianopolis,Brazil",Aeropostale,,,Latecoere26,F-aimq,671,5,1,0,An in flight fire caused he pilot to lose control and crash in a field after which a fire erupted.
19280512,,"Dearborn,Minnesota",FordAirFreightInc.,,Dearborn-Buffalo,Ford4,Nc1492,4-at-001,2,2,0,The cargo plane crashed on it’s inaugural flight. The pilot tried to become airborne without sufficient speed.
19280526,,"Radevormwald,Germany",DeutscheLufthansa,,Essen-Dortmund-Frankfurt,JunkersF-13,D-583,742,5,3,0,"After taking off and encountering fog, the pilot decided to  to make a precautionary landing in a field but t hit a cow, crashed and burned. Pilot error."
19280614,,"Frankfurt,Germany",DeutscheLufthansa,,,Aegk,D-74,439,5,5,0,"The ""Viper"" crashed for unknown reasons."
19280622,,"Lebo,Kansas",NationalAirTransport,,Chicago-Dallas,DouglasM-4,Nc1059,628,1,1,0,The mail plane flew into tornado like winds and crashed in a field.
